
---------- Begin Simulation Statistics ----------
simSeconds                                   4.300098                       # Number of seconds simulated (Second)
simTicks                                 4300097730000                       # Number of ticks simulated (Tick)
finalTick                                4300097730000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2750.64                       # Real time elapsed on the host (Second)
hostTickRate                               1563306444                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2256388                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000002                       # Number of instructions simulated (Count)
simOps                                     1177819171                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   363551                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     428198                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        430009774                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.430010                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.325529                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1296569930                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      108                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1260009515                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1852                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            118750797                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         324391799                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  12                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           430009702                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.930189                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.188824                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  62200400     14.46%     14.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  61001536     14.19%     28.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  85091798     19.79%     48.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  73356715     17.06%     65.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  49590568     11.53%     77.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  35586873      8.28%     85.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  29418955      6.84%     92.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  14158985      3.29%     95.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  19603872      4.56%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             430009702                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 6059969     72.92%     72.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     72.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     72.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     72.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     72.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     72.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     72.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     72.92% # attempts to use FU when none available (Count)
