
---------- Begin Simulation Statistics ----------
simSeconds                                   0.182322                       # Number of seconds simulated (Second)
simTicks                                 182321684240                       # Number of ticks simulated (Tick)
finalTick                                182321684240                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7227.97                       # Real time elapsed on the host (Second)
hostTickRate                                 25224455                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2256392                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000002                       # Number of instructions simulated (Count)
simOps                                     1177819171                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   138351                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     162953                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                      18232168425                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              18.232168                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.054848                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1414537733                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      116                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1379213118                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2148                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            236718608                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         306842624                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  20                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          9691468134                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.142312                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.766201                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                9203322359     94.96%     94.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 185703848      1.92%     96.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  80769751      0.83%     97.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  69842916      0.72%     98.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  53827954      0.56%     98.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  35137480      0.36%     99.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  28739377      0.30%     99.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  13990050      0.14%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  20134399      0.21%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            9691468134                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 7026003     80.73%     80.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     80.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     80.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     80.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     80.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     80.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     80.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     80.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     80.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     80.73% # attempts to use FU when none available (Count)
