
---------- Begin Simulation Statistics ----------
simSeconds                                   0.186490                       # Number of seconds simulated (Second)
simTicks                                 186489768480                       # Number of ticks simulated (Tick)
finalTick                                186489768480                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5753.01                       # Real time elapsed on the host (Second)
hostTickRate                                 32416013                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2256392                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000002                       # Number of instructions simulated (Count)
simOps                                     1177819171                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   173822                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     204731                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       9324488425                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               9.324488                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.107244                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1414411451                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      116                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1379083060                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2150                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            236592326                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         306841154                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  20                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          5545493058                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.248685                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.999749                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                5057472022     91.20%     91.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 185586299      3.35%     94.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  80760711      1.46%     96.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  69849397      1.26%     97.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  53823952      0.97%     98.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  35131774      0.63%     98.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  28743428      0.52%     99.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  13991898      0.25%     99.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  20133577      0.36%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            5545493058                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 7026951     80.74%     80.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     80.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     80.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     80.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     80.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     80.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     80.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     80.74% # attempts to use FU when none available (Count)
