
---------- Begin Simulation Statistics ----------
simSeconds                                   0.231163                       # Number of seconds simulated (Second)
simTicks                                 231163454000                       # Number of ticks simulated (Tick)
finalTick                                231163454000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2259.12                       # Real time elapsed on the host (Second)
hostTickRate                                102324692                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2264348                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   442651                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     501153                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        462326909                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.462327                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.162972                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1235275111                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1939                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1195345293                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5259                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            103113412                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         281421148                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  87                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           462226406                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.586060                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.929927                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  64475528     13.95%     13.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  92591586     20.03%     33.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  90863120     19.66%     53.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  79965999     17.30%     70.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  53692875     11.62%     82.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  43030757      9.31%     91.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  20081418      4.34%     96.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9485307      2.05%     98.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   8039816      1.74%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             462226406                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2652763     17.92%     17.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     17.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     17.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     17.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     17.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     17.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     17.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     17.92% # attempts to use FU when none available (Count)
