
---------- Begin Simulation Statistics ----------
simSeconds                                   0.291468                       # Number of seconds simulated (Second)
simTicks                                 291467762000                       # Number of ticks simulated (Tick)
finalTick                                291467762000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2536.51                       # Real time elapsed on the host (Second)
hostTickRate                                114908847                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2264352                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   394242                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     446346                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        582935525                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.582936                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.715456                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1561855479                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1945                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1357708654                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  16776                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            429693786                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1122530462                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  93                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           582836417                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.329485                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.010267                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 136247287     23.38%     23.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 100845801     17.30%     40.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 103338457     17.73%     58.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  89000225     15.27%     73.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  58663321     10.07%     83.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  48633197      8.34%     92.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  25012784      4.29%     96.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  13473469      2.31%     98.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   7621876      1.31%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             582836417                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3329053     18.87%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     18.87% # attempts to use FU when none available (Count)
