
---------- Begin Simulation Statistics ----------
simSeconds                                   1.011041                       # Number of seconds simulated (Second)
simTicks                                 1011041325550                       # Number of ticks simulated (Tick)
finalTick                                1011041325550                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  47424.69                       # Real time elapsed on the host (Second)
hostTickRate                                 21318882                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2257280                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000000                       # Number of instructions simulated (Count)
simOps                                     1084388551                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    21086                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      22865                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                     101104132556                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                             101.104132                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.009891                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1423536865                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  3803954                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1470353434                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               13246368                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            342952202                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         800737494                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               14514                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         99862356115                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.014724                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.240896                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0               99328805832     99.47%     99.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 189601326      0.19%     99.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 101482817      0.10%     99.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  69008367      0.07%     99.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  75823964      0.08%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  47088610      0.05%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  29960259      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  12418607      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   8166333      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           99862356115                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3069986      5.33%      5.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      5.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      5.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      5.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      5.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      5.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      5.33% # attempts to use FU when none available (Count)
