
---------- Begin Simulation Statistics ----------
simSeconds                                   1.012318                       # Number of seconds simulated (Second)
simTicks                                 1012318326080                       # Number of ticks simulated (Tick)
finalTick                                1012318326080                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  31645.67                       # Real time elapsed on the host (Second)
hostTickRate                                 31989153                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2257280                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000000                       # Number of instructions simulated (Count)
simOps                                     1084388551                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    31600                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      34267                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                      63269895381                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              63.269895                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.015805                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1423103168                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  3803934                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1470149003                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               13332355                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            342518485                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         799362811                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               14494                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         62512270190                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.023518                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.302756                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0               61980490388     99.15%     99.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 179451598      0.29%     99.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 106993729      0.17%     99.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  73082323      0.12%     99.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  80892862      0.13%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  42615058      0.07%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  28560778      0.05%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  12016060      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   8167394      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           62512270190                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3277737      5.68%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%      5.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%      5.68% # attempts to use FU when none available (Count)
