
---------- Begin Simulation Statistics ----------
simSeconds                                   1.049291                       # Number of seconds simulated (Second)
simTicks                                 1049291070625                       # Number of ticks simulated (Tick)
finalTick                                1049291070625                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7155.34                       # Real time elapsed on the host (Second)
hostTickRate                                146644576                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2257280                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000000                       # Number of instructions simulated (Count)
simOps                                     1084388551                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   139756                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     151550                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       8394328566                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               8.394329                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.119128                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1421939570                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  3803221                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1461643566                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               12940177                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            341354174                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         801158594                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               13781                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          8342041781                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.175214                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.815997                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                7816759955     93.70%     93.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 181947154      2.18%     95.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 100034612      1.20%     97.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  70915697      0.85%     97.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  74755009      0.90%     98.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  47566405      0.57%     99.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  29098617      0.35%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  12278322      0.15%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   8686010      0.10%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            8342041781                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2225427      3.99%      3.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      3.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      3.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      3.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      3.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      3.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      3.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      3.99% # attempts to use FU when none available (Count)
